date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:41:18	594052/594052	UR-M--	200	added ('Partial%20Content')	text/plain	etag:%22172427f-91084-49f84e27a2dc0%22	http://webpages.charter.net/manauser/morrowind/files/GraphicHerbalism.7z	I:/SavedSites/ManaUser.Morrowind/webpages.charter.net/manauser/morrowind/files/GraphicHerbalism.7z	(from http://webpages.charter.net/manauser/morrowind/)
01:44:41	5575628/5575628	---M--	200	added ('OK')	text/plain	etag:%221724293-5513cc-4a2b3f52c27c0%22	http://webpages.charter.net/manauser/morrowind/files/PrivateersHold.7z	I:/SavedSites/ManaUser.Morrowind/webpages.charter.net/manauser/morrowind/files/PrivateersHold.7z	(from http://webpages.charter.net/manauser/morrowind/)
01:44:42	2404/2404	---M--	200	added ('OK')	text/plain	etag:%22172428b-964-4a2b3e8988d00%22	http://webpages.charter.net/manauser/morrowind/files/NewClothes-Readme.txt	I:/SavedSites/ManaUser.Morrowind/webpages.charter.net/manauser/morrowind/files/NewClothes-Readme.txt	(from http://webpages.charter.net/manauser/morrowind/nudemods.htm)
01:44:43	4299/4299	---M--	200	added ('OK')	text/plain	etag:%221724274-10cb-4a2b3e96e2c80%22	http://webpages.charter.net/manauser/morrowind/files/AllStripMods-Readme.txt	I:/SavedSites/ManaUser.Morrowind/webpages.charter.net/manauser/morrowind/files/AllStripMods-Readme.txt	(from http://webpages.charter.net/manauser/morrowind/nudemods.htm)
01:44:44	4219/4219	---M--	200	added ('OK')	text/plain	etag:%221724279-107b-4a2b3e94065c0%22	http://webpages.charter.net/manauser/morrowind/files/CoverUp-Readme.txt	I:/SavedSites/ManaUser.Morrowind/webpages.charter.net/manauser/morrowind/files/CoverUp-Readme.txt	(from http://webpages.charter.net/manauser/morrowind/nudemods.htm)
01:44:45	4321/4321	---M--	200	added ('OK')	application/zip	etag:%22172429a-10e1-458c2bab27580%22	http://webpages.charter.net/manauser/morrowind/files/UndressForMe.zip	I:/SavedSites/ManaUser.Morrowind/webpages.charter.net/manauser/morrowind/files/UndressForMe.zip	(from http://webpages.charter.net/manauser/morrowind/nudemods.htm)
01:44:58	109017/109017	---M--	200	added ('OK')	image/jpeg	etag:%2217242ae-1a9d9-443262962c640%22	http://webpages.charter.net/manauser/morrowind/images/NewClothes1.jpg	I:/SavedSites/ManaUser.Morrowind/webpages.charter.net/manauser/morrowind/images/NewClothes1.jpg	(from http://webpages.charter.net/manauser/morrowind/nudemods.htm)
01:45:16	214517/214517	---M--	200	added ('OK')	application/zip	etag:%221724295-345f5-4432626495140%22	http://webpages.charter.net/manauser/morrowind/files/StripOrCoverUp.zip	I:/SavedSites/ManaUser.Morrowind/webpages.charter.net/manauser/morrowind/files/StripOrCoverUp.zip	(from http://webpages.charter.net/manauser/morrowind/nudemods.htm)
01:45:17	115131/115131	---M--	200	added ('OK')	image/jpeg	etag:%2217242a2-1c1bb-45902ceab92c0%22	http://webpages.charter.net/manauser/morrowind/images/Femmons.jpg	I:/SavedSites/ManaUser.Morrowind/webpages.charter.net/manauser/morrowind/images/Femmons.jpg	(from http://webpages.charter.net/manauser/morrowind/nudemods.htm)
01:45:17	2341/2341	---M--	200	added ('OK')	text/plain	etag:%22172427a-925-4a2b3e8b71180%22	http://webpages.charter.net/manauser/morrowind/files/Femmons-Readme.txt	I:/SavedSites/ManaUser.Morrowind/webpages.charter.net/manauser/morrowind/files/Femmons-Readme.txt	(from http://webpages.charter.net/manauser/morrowind/nudemods.htm)
01:45:17	148/148	---M--	200	added ('OK')	image/gif	etag:%2212432ef-94-2ee52d94f4080%22	http://webpages.charter.net/icons/blank.gif	I:/SavedSites/ManaUser.Morrowind/webpages.charter.net/icons/blank.gif	(from http://webpages.charter.net/manauser/morrowind/files/)
01:45:18	216/216	---M--	200	added ('OK')	image/gif	etag:%2212432ea-d8-2ee52d93ffe40%22	http://webpages.charter.net/icons/back.gif	I:/SavedSites/ManaUser.Morrowind/webpages.charter.net/icons/back.gif	(from http://webpages.charter.net/manauser/morrowind/files/)
01:45:18	10375/10375	---MC-	200	added ('OK')	text/html	date:Mon,%2028%20May%202018%2008:45:18%20GMT	http://webpages.charter.net/manauser/morrowind/files/?C=N;O=D	I:/SavedSites/ManaUser.Morrowind/webpages.charter.net/manauser/morrowind/files/indexc052.html	(from http://webpages.charter.net/manauser/morrowind/files/)
01:45:19	10375/10375	---MC-	200	added ('OK')	text/html	date:Mon,%2028%20May%202018%2008:45:18%20GMT	http://webpages.charter.net/manauser/morrowind/files/?C=M;O=A	I:/SavedSites/ManaUser.Morrowind/webpages.charter.net/manauser/morrowind/files/indexf8a0.html	(from http://webpages.charter.net/manauser/morrowind/files/)
01:45:19	229/229	---M--	200	added ('OK')	image/gif	etag:%221243329-e5-2ee52db560d00%22	http://webpages.charter.net/icons/text.gif	I:/SavedSites/ManaUser.Morrowind/webpages.charter.net/icons/text.gif	(from http://webpages.charter.net/manauser/morrowind/files/)
01:45:19	10375/10375	---MC-	200	added ('OK')	text/html	date:Mon,%2028%20May%202018%2008:45:19%20GMT	http://webpages.charter.net/manauser/morrowind/files/?C=S;O=A	I:/SavedSites/ManaUser.Morrowind/webpages.charter.net/manauser/morrowind/files/indexbfec.html	(from http://webpages.charter.net/manauser/morrowind/files/)
01:45:20	2419/2419	---M--	200	added ('OK')	text/plain	etag:%221724272-973-45b9bdd32e000%22	http://webpages.charter.net/manauser/morrowind/files/Ahnassi-SE-Readme.txt	I:/SavedSites/ManaUser.Morrowind/webpages.charter.net/manauser/morrowind/files/Ahnassi-SE-Readme.txt	(from http://webpages.charter.net/manauser/morrowind/files/)
01:45:20	1038/1038	---M--	200	added ('OK')	image/gif	etag:%2212432f8-40e-2ee52d9aace00%22	http://webpages.charter.net/icons/compressed.gif	I:/SavedSites/ManaUser.Morrowind/webpages.charter.net/icons/compressed.gif	(from http://webpages.charter.net/manauser/morrowind/files/)
01:45:20	10375/10375	---MC-	200	added ('OK')	text/html	date:Mon,%2028%20May%202018%2008:45:20%20GMT	http://webpages.charter.net/manauser/morrowind/files/?C=D;O=A	I:/SavedSites/ManaUser.Morrowind/webpages.charter.net/manauser/morrowind/files/index30b5.html	(from http://webpages.charter.net/manauser/morrowind/files/)
01:45:21	245/245	---M--	200	added ('OK')	image/gif	etag:%22124332b-f5-2ee52db749180%22	http://webpages.charter.net/icons/unknown.gif	I:/SavedSites/ManaUser.Morrowind/webpages.charter.net/icons/unknown.gif	(from http://webpages.charter.net/manauser/morrowind/files/)
01:45:22	7784/7784	---M--	200	added ('OK')	text/plain	etag:%221724277-1e68-4a2b3e9129f00%22	http://webpages.charter.net/manauser/morrowind/files/CompanionRPP-Readme.txt	I:/SavedSites/ManaUser.Morrowind/webpages.charter.net/manauser/morrowind/files/CompanionRPP-Readme.txt	(from http://webpages.charter.net/manauser/morrowind/files/)
01:45:24	20996/20996	---M--	200	added ('OK')	application/zip	etag:%221724273-5204-45ab055cbb4c0%22	http://webpages.charter.net/manauser/morrowind/files/Ahnassi-SE.zip	I:/SavedSites/ManaUser.Morrowind/webpages.charter.net/manauser/morrowind/files/Ahnassi-SE.zip	(from http://webpages.charter.net/manauser/morrowind/files/)
01:45:24	246977/246977	---M--	200	added ('OK')	application/zip	etag:%22172427b-3c4c1-45902cd89a800%22	http://webpages.charter.net/manauser/morrowind/files/Femmons.zip	I:/SavedSites/ManaUser.Morrowind/webpages.charter.net/manauser/morrowind/files/Femmons.zip	(from http://webpages.charter.net/manauser/morrowind/nudemods.htm)
01:45:26	24579/24579	---M--	200	added ('OK')	application/zip	etag:%221724278-6003-4432625fd0600%22	http://webpages.charter.net/manauser/morrowind/files/CompanionRPP.zip	I:/SavedSites/ManaUser.Morrowind/webpages.charter.net/manauser/morrowind/files/CompanionRPP.zip	(from http://webpages.charter.net/manauser/morrowind/files/)
01:45:28	9880/9880	---M--	200	added ('OK')	application/zip	etag:%221724291-2698-4a2b41a5da3c0%22	http://webpages.charter.net/manauser/morrowind/files/NudeInstpector.zip	I:/SavedSites/ManaUser.Morrowind/webpages.charter.net/manauser/morrowind/files/NudeInstpector.zip	(from http://webpages.charter.net/manauser/morrowind/files/)
01:45:29	30915/30915	---M--	200	added ('OK')	application/zip	etag:%22172427c-78c3-4d3aca2bd6740%22	http://webpages.charter.net/manauser/morrowind/files/FontReader%20with%20Source.zip	I:/SavedSites/ManaUser.Morrowind/webpages.charter.net/manauser/morrowind/files/FontReader%20with%20Source.zip	(from http://webpages.charter.net/manauser/morrowind/files/)
01:45:41	74599/74599	---M--	200	added ('OK')	application/zip	etag:%221724296-12367-4b2ea624ac000%22	http://webpages.charter.net/manauser/morrowind/files/TextureSizeTester.zip	I:/SavedSites/ManaUser.Morrowind/webpages.charter.net/manauser/morrowind/files/TextureSizeTester.zip	(from http://webpages.charter.net/manauser/morrowind/files/)
01:45:44	15581/15581	---M--	200	added ('OK')	application/zip	etag:%221724298-3cdd-443262536a8c0%22	http://webpages.charter.net/manauser/morrowind/files/Toolkit121.zip	I:/SavedSites/ManaUser.Morrowind/webpages.charter.net/manauser/morrowind/files/Toolkit121.zip	(from http://webpages.charter.net/manauser/morrowind/files/)
01:46:03	112021/112021	---M--	200	added ('OK')	application/zip	etag:%22172429d-1b595-49d9a9731f280%22	http://webpages.charter.net/manauser/morrowind/files/daedric.zip	I:/SavedSites/ManaUser.Morrowind/webpages.charter.net/manauser/morrowind/files/daedric.zip	(from http://webpages.charter.net/manauser/morrowind/files/)
01:46:10	299432/299432	---M--	200	added ('OK')	application/zip	etag:%221724280-491a8-4a31be955c740%22	http://webpages.charter.net/manauser/morrowind/files/HoldThatThought.zip	I:/SavedSites/ManaUser.Morrowind/webpages.charter.net/manauser/morrowind/files/HoldThatThought.zip	(from http://webpages.charter.net/manauser/morrowind/files/)
01:46:11	290395/290395	---M--	200	added ('OK')	application/zip	etag:%221724294-46e5b-45da2c4390940%22	http://webpages.charter.net/manauser/morrowind/files/SolidTextures.zip	I:/SavedSites/ManaUser.Morrowind/webpages.charter.net/manauser/morrowind/files/SolidTextures.zip	(from http://webpages.charter.net/manauser/morrowind/files/)
01:46:30	1081699/1081699	---M--	200	added ('OK')	application/zip	etag:%22172428c-108163-44326276b3c00%22	http://webpages.charter.net/manauser/morrowind/files/NewClothes.zip	I:/SavedSites/ManaUser.Morrowind/webpages.charter.net/manauser/morrowind/files/NewClothes.zip	(from http://webpages.charter.net/manauser/morrowind/nudemods.htm)
01:46:32	10375/10375	---MC-	200	added ('OK')	text/html	date:Mon,%2028%20May%202018%2008:46:31%20GMT	http://webpages.charter.net/manauser/morrowind/files/?C=N;O=A	I:/SavedSites/ManaUser.Morrowind/webpages.charter.net/manauser/morrowind/files/indexb70a.html	(from http://webpages.charter.net/manauser/morrowind/files/?C=N;O=D)
01:46:32	10375/10375	---MC-	200	added ('OK')	text/html	date:Mon,%2028%20May%202018%2008:46:31%20GMT	http://webpages.charter.net/manauser/morrowind/files/?C=M;O=D	I:/SavedSites/ManaUser.Morrowind/webpages.charter.net/manauser/morrowind/files/index72c9.html	(from http://webpages.charter.net/manauser/morrowind/files/?C=M;O=A)
01:46:32	10375/10375	---MC-	200	added ('OK')	text/html	date:Mon,%2028%20May%202018%2008:46:31%20GMT	http://webpages.charter.net/manauser/morrowind/files/?C=S;O=D	I:/SavedSites/ManaUser.Morrowind/webpages.charter.net/manauser/morrowind/files/index5851.html	(from http://webpages.charter.net/manauser/morrowind/files/?C=S;O=A)
01:46:32	10375/10375	---MC-	200	added ('OK')	text/html	date:Mon,%2028%20May%202018%2008:46:31%20GMT	http://webpages.charter.net/manauser/morrowind/files/?C=D;O=D	I:/SavedSites/ManaUser.Morrowind/webpages.charter.net/manauser/morrowind/files/indexad3f.html	(from http://webpages.charter.net/manauser/morrowind/files/?C=D;O=A)
