date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:32:00	216/216	---M--	200	added ('OK')	image/gif	etag:%221724247-d8-43c80f2090340%22	http://webpages.charter.net/manauser/images/KnobMushroom.gif	I:/SavedSites/ManaUser/webpages.charter.net/manauser/images/KnobMushroom.gif	(from http://webpages.charter.net/manauser/images/)
01:32:00	9262/9262	---M--	200	added ('OK')	image/gif	etag:%221724246-242e-423b9d6973bc0%22	http://webpages.charter.net/manauser/images/GraymanX.gif	I:/SavedSites/ManaUser/webpages.charter.net/manauser/images/GraymanX.gif	(from http://webpages.charter.net/manauser/images/)
01:32:01	2711/2711	---M--	200	added ('OK')	image/png	etag:%221724248-a97-4100a05a10a40%22	http://webpages.charter.net/manauser/images/Melt.png	I:/SavedSites/ManaUser/webpages.charter.net/manauser/images/Melt.png	(from http://webpages.charter.net/manauser/images/)
01:32:01	2682/2682	---M--	200	added ('OK')	text/html	date:Mon,%2028%20May%202018%2008:32:01%20GMT	http://webpages.charter.net/manauser/images/Smilies/	I:/SavedSites/ManaUser/webpages.charter.net/manauser/images/Smilies/index.html	(from http://webpages.charter.net/manauser/images/)
01:32:01	285/285	---M--	200	added ('OK')	image/png	etag:%22172424a-11d-4d4250f55c3c0%22	http://webpages.charter.net/manauser/images/Tablet1.png	I:/SavedSites/ManaUser/webpages.charter.net/manauser/images/Tablet1.png	(from http://webpages.charter.net/manauser/images/)
01:32:01	6905/6905	---M--	200	added ('OK')	image/gif	etag:%221724249-1af9-484cc2b825840%22	http://webpages.charter.net/manauser/images/OriginalArena.gif	I:/SavedSites/ManaUser/webpages.charter.net/manauser/images/OriginalArena.gif	(from http://webpages.charter.net/manauser/images/)
01:32:01	269/269	---M--	200	added ('OK')	image/png	etag:%22172424b-10d-4d4250f55c3c0%22	http://webpages.charter.net/manauser/images/Tablet2.png	I:/SavedSites/ManaUser/webpages.charter.net/manauser/images/Tablet2.png	(from http://webpages.charter.net/manauser/images/)
01:32:01	71055/71055	---M--	200	added ('OK')	image/jpeg	etag:%221724241-1158f-46d0957063340%22	http://webpages.charter.net/manauser/images/BWKitten2.jpg	I:/SavedSites/ManaUser/webpages.charter.net/manauser/images/BWKitten2.jpg	(from http://webpages.charter.net/manauser/images/)
01:32:02	319/319	---M--	200	added ('OK')	image/png	etag:%22172424e-13f-4e20f5e47e740%22	http://webpages.charter.net/manauser/images/VineRoot.png	I:/SavedSites/ManaUser/webpages.charter.net/manauser/images/VineRoot.png	(from http://webpages.charter.net/manauser/images/)
01:32:02	16834/16834	---M--	200	added ('OK')	image/png	etag:%22172424c-41c2-45e70b8864d00%22	http://webpages.charter.net/manauser/images/V-Mask.png	I:/SavedSites/ManaUser/webpages.charter.net/manauser/images/V-Mask.png	(from http://webpages.charter.net/manauser/images/)
